team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Panama,José Luis Rodríguez,3,0,0,2024-06-06,2025-11-18
Germany,Leroy Sané,3,0,0,2024-11-16,2025-11-17
Congo DR,Meschak Elia,3,0,0,2024-01-28,2025-11-16
Portugal,Francisco Conceição,3,0,0,2024-06-18,2025-11-16
Portugal,João Neves,3,0,0,2025-11-16,2025-11-16
Switzerland,Dan Ndoye,3,0,0,2024-06-23,2025-11-15
Croatia,Joško Gvardiol,3,0,0,2022-12-17,2025-11-14
Curacao,Juninho Bacuna,3,0,0,2024-06-08,2025-11-13
England,Eberechi Eze,3,0,0,2025-03-24,2025-11-13
Curacao,Kenji Gorré,3,0,0,2025-06-10,2025-10-14
Turkiye,Yunus Akgün,3,0,0,2022-06-07,2025-10-14
Cote d'Ivoire,Ibrahim Sangaré,3,1,0,2022-01-20,2025-10-10
Cote d'Ivoire,Simon Adingra,3,0,0,2023-11-17,2025-10-10
Tunisia,Elias Saad,3,0,0,2025-09-04,2025-10-10
Austria,Romano Schmid,3,0,0,2024-06-25,2025-10-09
Austria,Stefan Posch,3,0,0,2024-10-13,2025-10-09
Haiti,Danley Jean Jacques,3,0,0,2023-06-29,2025-10-09
Ghana,Mohammed Salisu,3,0,0,2022-11-28,2025-10-08
France,Bradley Barcola,3,0,0,2024-09-06,2025-09-09
Spain,Pedri,3,0,0,2025-06-05,2025-09-07
Uruguay,Rodrigo Aguirre,3,0,0,2024-11-15,2025-09-04
Mexico,Edson Álvarez,3,0,0,2022-03-27,2025-07-06
USA,Diego Luna,3,0,0,2025-06-29,2025-07-02
Panama,Tomás Rodríguez,3,0,0,2025-06-16,2025-06-24
USA,Malik Tillman,3,0,0,2025-06-15,2025-06-22
Mexico,César Montes,3,0,0,2025-06-14,2025-06-18
Panama,Eduardo Guerrero,3,1,0,2024-07-01,2025-06-16
Argentina,Thiago Almada,3,0,0,2024-10-15,2025-06-10
Netherlands,Noa Lang,3,0,0,2022-06-14,2025-06-10
Uzbekistan,Azizbek Turgunboev,3,0,0,2024-01-23,2025-06-10
Uzbekistan,Igor Sergeev,3,0,0,2023-11-21,2025-06-10
Saudi Arabia,Musab Al-Juwayr,3,0,0,2024-06-06,2025-06-05
Argentina,Alexis Mac Allister,3,0,0,2022-11-30,2025-03-25
Argentina,Enzo Fernández,3,0,0,2022-11-26,2025-03-25
Australia,Nishan Velupillay,3,0,0,2024-10-10,2025-03-25
France,Ousmane Dembélé,3,0,0,2023-11-18,2025-03-23
Paraguay,Omar Alderete,3,0,0,2024-06-28,2025-03-20
Qatar,Ahmed Al-Rawi,3,0,0,2024-03-21,2025-03-20
Japan,Kōki Ogawa,3,0,0,2024-10-10,2024-11-19
Netherlands,Teun Koopmeiners,3,0,0,2022-06-08,2024-11-16
Uzbekistan,Otabek Shukurov,3,1,0,2023-11-16,2024-10-15
Turkiye,İrfan Kahveci,3,0,0,2023-06-16,2024-10-14
Austria,Philipp Lienhart,3,0,0,2023-11-16,2024-10-13
England,Jack Grealish,3,0,0,2022-11-21,2024-10-13
Germany,Deniz Undav,3,0,0,2024-09-10,2024-10-11
Argentina,Nicolás Otamendi,3,0,0,2023-10-12,2024-10-10
Argentina,Nicolás González,3,0,0,2022-03-25,2024-09-10
Japan,Koki Ogawa,3,0,0,2024-06-06,2024-09-10
Japan,Kaoru Mitoma,3,0,0,2022-03-24,2024-09-05
Portugal,Diogo Dalot,3,0,0,2022-09-24,2024-09-05
Uruguay,Rodrigo Bentancur,3,0,0,2022-02-01,2024-07-13
Canada,Jacob Shaffelburg,3,0,0,2023-07-09,2024-07-05
Turkiye,Cenk Tosun,3,0,0,2023-10-15,2024-06-26
Cabo Verde,Jamiro Monteiro,3,0,0,2023-11-21,2024-06-08
