date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_norm,away_team_norm,home_points,away_points,home_goal_diff,away_goal_diff
1949-01-25,Macau,South Korea,1,5,Friendly,Macau,Macau,False,Macau,Korea Republic,0,3,-4,4
1949-02-27,Italy,Portugal,4,1,Friendly,Genoa,Italy,False,Italy,Portugal,3,0,3,-3
1949-03-13,Netherlands,Belgium,3,3,Friendly,Amsterdam,Netherlands,False,Netherlands,Belgium,1,1,0,0
1949-03-20,Austria,Turkey,1,0,Friendly,Vienna,Austria,False,Austria,Turkiye,3,0,1,-1
1949-03-20,Portugal,Spain,1,1,Friendly,Oeiras,Portugal,False,Portugal,Spain,1,1,0,0
1949-03-27,Spain,Italy,1,3,Friendly,Madrid,Spain,False,Spain,Italy,0,3,-2,2
1949-04-03,Brazil,Ecuador,9,1,Copa América,Rio de Janeiro,Brazil,False,Brazil,Ecuador,3,0,8,-8
1949-04-03,Switzerland,Austria,1,2,Central European International Cup,Lausanne,Switzerland,False,Switzerland,Austria,0,3,-1,1
1949-04-06,Colombia,Paraguay,0,3,Copa América,São Paulo,Brazil,True,Colombia,Paraguay,0,3,-3,3
1949-04-09,England,Scotland,1,3,British Home Championship,London,England,False,England,Scotland,0,3,-2,2
1949-04-10,Brazil,Bolivia,10,1,Copa América,São Paulo,Brazil,False,Brazil,Bolivia,3,0,9,-9
1949-04-10,Colombia,Peru,0,4,Copa América,Rio de Janeiro,Brazil,True,Colombia,Peru,0,3,-4,4
1949-04-10,Ecuador,Paraguay,0,1,Copa América,Rio de Janeiro,Brazil,True,Ecuador,Paraguay,0,3,-1,1
1949-04-13,Brazil,Chile,2,1,Copa América,São Paulo,Brazil,False,Brazil,Chile,3,0,1,-1
1949-04-13,Ecuador,Uruguay,2,3,Copa América,Rio de Janeiro,Brazil,True,Ecuador,Uruguay,0,3,-1,1
1949-04-13,Paraguay,Peru,3,1,Copa América,Rio de Janeiro,Brazil,True,Paraguay,Peru,3,0,2,-2
1949-04-17,Bolivia,Uruguay,3,2,Copa América,Rio de Janeiro,Brazil,True,Bolivia,Uruguay,3,0,1,-1
1949-04-17,Brazil,Colombia,5,0,Copa América,São Paulo,Brazil,False,Brazil,Colombia,3,0,5,-5
1949-04-17,Chile,Ecuador,1,0,Copa América,São Paulo,Brazil,True,Chile,Ecuador,3,0,1,-1
1949-04-20,Chile,Colombia,1,1,Copa América,Rio de Janeiro,Brazil,True,Chile,Colombia,1,1,0,0
1949-04-20,Ecuador,Peru,0,4,Copa América,Rio de Janeiro,Brazil,True,Ecuador,Peru,0,3,-4,4
1949-04-20,Haiti,Trinidad and Tobago,2,2,Friendly,Port-au-Prince,Haiti,False,Haiti,Trinidad and Tobago,1,1,0,0
1949-04-20,Paraguay,Uruguay,1,2,Copa América,São Paulo,Brazil,True,Paraguay,Uruguay,0,3,-1,1
1949-04-23,Haiti,Trinidad and Tobago,2,3,Friendly,Port-au-Prince,Haiti,False,Haiti,Trinidad and Tobago,0,3,-1,1
1949-04-23,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,False,Netherlands,France,3,0,3,-3
1949-04-24,Brazil,Peru,7,1,Copa América,Rio de Janeiro,Brazil,False,Brazil,Peru,3,0,6,-6
1949-04-24,Republic of Ireland,Belgium,0,2,Friendly,Dublin,Éire,False,Republic of Ireland,Belgium,0,3,-2,2
1949-04-25,Bolivia,Ecuador,2,0,Copa América,São Paulo,Brazil,True,Bolivia,Ecuador,3,0,2,-2
1949-04-25,Haiti,Trinidad and Tobago,5,0,Friendly,Port-au-Prince,Haiti,False,Haiti,Trinidad and Tobago,3,0,5,-5
1949-04-25,Uruguay,Colombia,2,2,Copa América,São Paulo,Brazil,True,Uruguay,Colombia,1,1,0,0
1949-04-27,Chile,Paraguay,2,4,Copa América,São Paulo,Brazil,True,Chile,Paraguay,0,3,-2,2
1949-04-27,Scotland,France,2,0,Friendly,Glasgow,Scotland,False,Scotland,France,3,0,2,-2
